levels    n       t(n)[ns]           q(n)
    1    3              0              0
    2    5              0              0
    3    7              0              0
    4    9              0              0
    5   11       15600000        4.49999
    6   13       15600000            1.5
    7   15       31200100              1
    8   17       93600200       0.999999
    9   19      124800200       0.444444
   10   21      249600400       0.296296
   11   23      639601100       0.253086
   12   25     1981203500       0.261316
   13   27     5444409600       0.239369
